week,week_raw,incidencePer100k,geo_insee,geo_name
2019-W48,201948,34,FR,"France"
2019-W47,201947,28,FR,"France"
2019-W46,201946,24,FR,"France"
2019-W45,201945,15,FR,"France"
2019-W44,201944,12,FR,"France"
2019-W43,201943,14,FR,"France"
2019-W42,201942,12,FR,"France"
2019-W41,201941,11,FR,"France"
2019-W40,201940,13,FR,"France"
2019-W39,201939,11,FR,"France"
2019-W38,201938,7,FR,"France"
2019-W37,201937,5,FR,"France"
2019-W36,201936,3,FR,"France"
2019-W35,201935,2,FR,"France"
2019-W34,201934,3,FR,"France"
2019-W33,201933,2,FR,"France"
2019-W32,201932,2,FR,"France"
2019-W31,201931,4,FR,"France"
2019-W30,201930,3,FR,"France"
2019-W29,201929,3,FR,"France"
2019-W28,201928,2,FR,"France"
2019-W27,201927,4,FR,"France"
2019-W26,201926,3,FR,"France"
2019-W25,201925,2,FR,"France"
2019-W24,201924,1,FR,"France"
2019-W23,201923,3,FR,"France"
2019-W22,201922,3,FR,"France"
2019-W21,201921,4,FR,"France"
2019-W20,201920,4,FR,"France"
2019-W19,201919,5,FR,"France"
2019-W18,201918,2,FR,"France"
2019-W17,201917,5,FR,"France"
2019-W16,201916,6,FR,"France"
2019-W15,201915,9,FR,"France"
2019-W14,201914,19,FR,"France"
2019-W13,201913,25,FR,"France"
2019-W12,201912,34,FR,"France"
2019-W11,201911,48,FR,"France"
2019-W10,201910,76,FR,"France"
2019-W09,201909,134,FR,"France"
2019-W08,201908,262,FR,"France"
2019-W07,201907,467,FR,"France"
2019-W06,201906,599,FR,"France"
2019-W05,201905,540,FR,"France"
2019-W04,201904,366,FR,"France"
2019-W03,201903,223,FR,"France"
2019-W02,201902,115,FR,"France"
2019-W01,201901,76,FR,"France"
2018-W52,201852,58,FR,"France"
2018-W51,201851,60,FR,"France"
2018-W50,201850,42,FR,"France"
2018-W49,201849,30,FR,"France"
2018-W48,201848,30,FR,"France"
2018-W47,201847,24,FR,"France"
2018-W46,201846,17,FR,"France"
2018-W45,201845,17,FR,"France"
2018-W44,201844,10,FR,"France"
2018-W43,201843,10,FR,"France"
2018-W42,201842,12,FR,"France"
2018-W41,201841,12,FR,"France"
2018-W40,201840,11,FR,"France"
2018-W39,201839,11,FR,"France"
2018-W38,201838,11,FR,"France"
2018-W37,201837,7,FR,"France"
2018-W36,201836,5,FR,"France"
2018-W35,201835,2,FR,"France"
2018-W34,201834,2,FR,"France"
2018-W33,201833,3,FR,"France"
2018-W32,201832,3,FR,"France"
2018-W31,201831,3,FR,"France"
2018-W30,201830,3,FR,"France"
2018-W29,201829,3,FR,"France"
2018-W28,201828,3,FR,"France"
2018-W27,201827,5,FR,"France"
2018-W26,201826,6,FR,"France"
2018-W25,201825,7,FR,"France"
2018-W24,201824,5,FR,"France"
2018-W23,201823,2,FR,"France"
2018-W22,201822,5,FR,"France"
2018-W21,201821,4,FR,"France"
2018-W20,201820,4,FR,"France"
2018-W19,201819,2,FR,"France"
2018-W18,201818,5,FR,"France"
2018-W17,201817,4,FR,"France"
2018-W16,201816,7,FR,"France"
2018-W15,201815,25,FR,"France"
2018-W14,201814,35,FR,"France"
2018-W13,201813,50,FR,"France"
2018-W12,201812,79,FR,"France"
2018-W11,201811,99,FR,"France"
2018-W10,201810,142,FR,"France"
2018-W09,201809,165,FR,"France"
2018-W08,201808,201,FR,"France"
2018-W07,201807,215,FR,"France"
2018-W06,201806,211,FR,"France"
2018-W05,201805,240,FR,"France"
2018-W04,201804,267,FR,"France"
2018-W03,201803,271,FR,"France"
2018-W02,201802,302,FR,"France"
2018-W01,201801,358,FR,"France"
2017-W52,201752,459,FR,"France"
2017-W51,201751,352,FR,"France"
2017-W50,201750,199,FR,"France"
2017-W49,201749,98,FR,"France"
2017-W48,201748,58,FR,"France"
2017-W47,201747,38,FR,"France"
2017-W46,201746,21,FR,"France"
2017-W45,201745,22,FR,"France"
2017-W44,201744,13,FR,"France"
2017-W43,201743,11,FR,"France"
2017-W42,201742,15,FR,"France"
2017-W41,201741,19,FR,"France"
2017-W40,201740,20,FR,"France"
2017-W39,201739,23,FR,"France"
2017-W38,201738,18,FR,"France"
2017-W37,201737,15,FR,"France"
2017-W36,201736,4,FR,"France"
2017-W35,201735,4,FR,"France"
2017-W34,201734,4,FR,"France"
2017-W33,201733,4,FR,"France"
2017-W32,201732,4,FR,"France"
2017-W31,201731,5,FR,"France"
2017-W30,201730,6,FR,"France"
2017-W29,201729,8,FR,"France"
2017-W28,201728,8,FR,"France"
2017-W27,201727,6,FR,"France"
2017-W26,201726,5,FR,"France"
2017-W25,201725,1,FR,"France"
2017-W24,201724,2,FR,"France"
2017-W23,201723,3,FR,"France"
2017-W22,201722,2,FR,"France"
2017-W21,201721,1,FR,"France"
2017-W20,201720,4,FR,"France"
2017-W19,201719,5,FR,"France"
2017-W18,201718,3,FR,"France"
2017-W17,201717,3,FR,"France"
2017-W16,201716,2,FR,"France"
2017-W15,201715,1,FR,"France"
2017-W14,201714,2,FR,"France"
2017-W13,201713,12,FR,"France"
2017-W12,201712,13,FR,"France"
2017-W11,201711,12,FR,"France"
2017-W10,201710,18,FR,"France"
2017-W09,201709,20,FR,"France"
2017-W08,201708,45,FR,"France"
2017-W07,201707,91,FR,"France"
2017-W06,201706,144,FR,"France"
2017-W05,201705,297,FR,"France"
2017-W04,201704,394,FR,"France"
2017-W03,201703,410,FR,"France"
2017-W02,201702,400,FR,"France"
2017-W01,201701,392,FR,"France"
2016-W52,201652,345,FR,"France"
2016-W51,201651,288,FR,"France"
2016-W50,201650,194,FR,"France"
2016-W49,201649,117,FR,"France"
2016-W48,201648,62,FR,"France"
2016-W47,201647,34,FR,"France"
2016-W46,201646,32,FR,"France"
2016-W45,201645,24,FR,"France"
2016-W44,201644,23,FR,"France"
2016-W43,201643,14,FR,"France"
2016-W42,201642,20,FR,"France"
2016-W41,201641,21,FR,"France"
2016-W40,201640,21,FR,"France"
2016-W39,201639,16,FR,"France"
2016-W38,201638,9,FR,"France"
2016-W37,201637,6,FR,"France"
